QuestionCode,Question,Fullmark,RightAnswer,Note,Example1,Example2,Example3,,
CPTA1a,Software development is one of the elements in the development of autonomous vehicles. The waterfall software process model is considered most suitable for such a system. a. Identify ONE reason to use the Water all model.,2,"<Point1_case1:2>Safety critical system<Point1_case1:2>,<Point1_case2:2>involved hardware<Point1_case2:2>,<Point1_case3:2>substantial documentation is needed<Point1_case3:2> ",,"An autonomous vehicle system is a safety-critical system so requires a lot of up-front analysis before implementation. It certainly needs a plan-driven approach to
development with the requirements carefully analyzed. A waterfall model is therefore the most appropriate approach to use. perhaps with formal transformations between the  different development stages.
<Point1_case1:2> *True* The student correctly identifies that an autonomous vehicle system is a safety-critical system, which is a key point.\n
<Point1_case2:2> *False* The student does not explicitly mention the involvement of hardware, which is another important aspect.\n
<Point1_case3:2> *True* The student implicitly refers to the need for substantial documentation by emphasizing the importance of a plan-driven approach and careful analysis of requirements.\n","The waterfall model is used when requirements are well understood and are unlikely to change fundamentally The waterfall model is used when requirements are well understood and are unlikely to change fundamentally during the development of the system. Autom mated systems need to have clear requirements for the entire during the development of the system. Autommated systems need to have clear requirements for the entire framework at the start of the design and not be easily changed at a later stage. framework at the start of the design and not be easily changed at a later stage.
<Point1_case1:2> *False* (The student's answer does not correctly identify that an autonomous vehicle system is a safety-critical system.)\n
<Point1_case2:2> *False* (The student's answer does not discuss the involvement of hardware in the system.)\n
<Point1_case3:2> *False* (The student's answer does not mention the need for substantial documentation or up-front analysis.)\n","The Waterfall model should be well understand at the beginning and the structure will not be changed a lot during the period of designing the system. It never focuses on the end but to improve the efficient of the development. The development of autonomous vehicles system just needs tobe adequately designed at the beggining and will not be changed a lot during the process.
<Point1_case1:2> *False* (The student's answer does not correctly identify that an autonomous vehicle system is a safety-critical system.)\n
<Point1_case2:2> *False* (The student's answer does not discuss the involvement of hardware in the system.)\n
<Point1_case3:2> *False* (The student's answer does not mention the need for substantial documentation or up-front analysis.)\n",,
CPTA1b,"When the project is in the Software Design and Implementation stage, in theory, the project team should not revisit the Software Specification stage. In practice, the project team may step back to the Software Specification stage for some strong reasons. Name ONE of the possible consequences if the project team decided to revisit the Software Specification stage.",2,"<Point1_case1:2>Project delay<Point1_case1:2>, <Point1_case2:2>more time<Point1_case2:2>, <Point1_case3:2>behind schedule<Point1_case3:2>, <Point1_case4:2>cannot on time<Point1_case4:2>, <Point1_case5:2> increased cost<Point1_case5:2>, <Point1_case6:2>over budget<Point1_case6:2>, <Point1_case7:2>more money<Point1_case7:2>, <Point1_case8:2>workload<Point1_case8:2>", ,"Considering of the costs of reproducing documents and more time and energy spent on communication to do adjustments, revisiting the software specification stage can be costly and involve significant rework.
<Point1_case1:2> *True* (The student's answer suggests that revisiting the specification stage can cause delays due to the additional time and energy required for adjustments, which aligns with the concept of project delay.)\n
<Point1_case2:2> *True* (The answer clearly mentions that more time and energy would be needed to make adjustments, which corresponds to this point.)\n
<Point1_case3:2> *True* (The idea of project delays and needing more time implies that the project could fall behind schedule.)\n
<Point1_case4:2> *False* (The student's answer does not directly address whether the project would be completed on time.)\n
<Point1_case5:2> *True* (The student mentions the costs involved, which indicates an understanding that revisiting the specification stage could lead to increased costs.)\n
<Point1_case6:2> *False* (The student does not specifically mention budget overruns.)\n
<Point1_case7:2> *False* (While costs are mentioned, the student does not explicitly discuss spending more money overall.)\n
<Point1_case8:2> *True* (The mention of more time and energy spent on communication and adjustments implies an increased workload.)\n","During the software design and implementation stage, the design team identified a gap in the During the software design and implementation stage, the design team identified a gap in theframework and the product had to be redesigned framework and the product had to be redesigned
<Point1_case1:2> *False* (The student's answer does not mention any delays, only that a redesign was necessary.)\n
<Point1_case2:2> *False* (The answer does not discuss the need for additional time, just that a redesign occurred.)\n
<Point1_case3:2> *False* (There is no mention of the project being behind schedule.)\n
<Point1_case4:2> *False* (The student does not address whether the project would be completed on time.)\n
<Point1_case5:2> *False* (The answer does not mention any costs or increases in budget due to the redesign.)\n
<Point1_case6:2> *False* (There is no reference to budget overruns.)\n
<Point1_case7:2> *False* (The answer does not indicate that more money would be needed.)\n
<Point1_case8:2> *False* (The student does not discuss any changes in workload due to the redesign.)\n","One of the reason is that the specification of the project requirements has been changed by customer or mistaken by the team. As a result, the team have to revisit the secification and make some change.
<Point1_case1:2> *False* (The answer does not explicitly mention delays resulting from the changes.)\n
<Point1_case2:2> *False* (Although revisiting the specifications might imply more time is needed, the student does not directly state that more time is required.)\n
<Point1_case3:2> *False* (The student does not address whether the project is behind schedule.)\n
<Point1_case4:2> *False* (The student does not discuss whether the changes would impact the project being completed on time.)\n
<Point1_case5:2> *False* (The answer does not mention any cost implications.)\n
<Point1_case6:2> *False* (There is no reference to the budget being exceeded.)\n
<Point1_case7:2> *False* (The student does not indicate that more money would be required due to the changes.)\n
<Point1_case8:2> *False* (The student does not discuss changes in workload resulting from the specification changes.)\n",,
CPTA1c,"If, for any reason, the project team decided to revisit the Software Specification stage, what measures should be in place to reduce the negative impacts on the project?",3,"<Point1_case1:1>Limit the revisit duration<Point1_case1:1>, <Point1_case2:1>reduce duration<Point1_case2:1>, <Point1_case3:1>reduce time of revisit<Point1_case3:1>, <Point2_case1:1>reduce the number of revisits<Point2_case1:1>, and <Point3_case1:1>the area to revisit<Point3_case1:1>, <Point3_case2:1>limit the area of revisits<Point3_case2:1>, <Point3_case3:1>more focused areas on spec<Point3_case3:1>",,"1. Do small number of iterations
2. After a small number of iterations, it is normal to freeze the specification, and to continue with the later development stages.
3. Problems are left for later resolution, ignored, or programmed.
<Point1_case1:1> *True* (This statement implies that by doing fewer iterations, the duration of revisits is naturally limited.)\n
<Point1_case2:1> *True* (Fewer iterations also suggest a reduced overall duration for revisits.)\n
<Point1_case3:1> *True* (A smaller number of iterations implies less time spent on each revisit, aligning with the goal of reducing revisit time.)\n
<Point2_case1:1> *True* (Doing fewer iterations directly reduces the number of revisits.)\n
<Point3_case1:1> *False* (The statement does not directly address the area to revisit.)\n
<Point3_case2:1> *False* (The answer does not mention limiting the area of revisits.)\n
<Point3_case3:1> *False* (The answer does not focus on making the revisits more specific or focused.)\n
","1.During the software design and implementation stage, the design team 1.During the software design and implementation stage, the design team identified a gap in the framework and the product had to be redesigned identified a gap in the framework and the product had to be redesigned
2. In order to reduce the cost of development, the project can be dismantled 2. In order to reduce the cost of development, the project can be dismantled to analyse the parts that can be reused to analyse the parts that can be reused
3. Compromises can be negotiated with users and compromises can be found to 3. Compromises can be negotiated with users and compromises can be found to reduce the cost of changes reduce the cost of changes
<Point1_case1:1> *False* (Dismantling the project to analyze parts does not inherently limit the revisit duration; it may even prolong the process.)\n
<Point1_case2:1> *False* (This approach doesn't suggest a reduction in the revisit duration.)\n
<Point1_case3:1> *False* (The process described could increase the time needed for revisits.)\n
<Point2_case1:1> *True* (Reusing parts might reduce the number of revisits required, as it could streamline the process.)\n
<Point3_case1:1> *True* (Negotiating compromises can focus the revisits on specific areas that need change.)\n
<Point3_case2:1> *True* (This can limit the areas that require revisiting.)\n
<Point3_case3:1> *True* (The revisits can be more focused, addressing only the necessary changes.)\n","1.Some problems will take much time, so revisit can solve the trouble. 
2. Decide what can be reuse to save time and money.
3.Negotiate with the cutomer and make up a new method to save money and imoprove efficient.
<Point1_case1:1> *False* (The statement suggests revisiting to solve problems, which might extend the duration rather than limiting it.)\n
<Point1_case2:1> *False* (Revisiting issues that take much time could increase, rather than reduce, the duration.)\n
<Point1_case3:1> *False* (The time of revisits may increase if problems take longer to resolve.)\n
<Point2_case1:1> *True* (The reuse of components could reduce the number of necessary revisits.)\n
<Point3_case1:1> *False* (This does not directly address the area of revisits.)\n
<Point3_case2:1> *False* (Limiting the area of revisits is not mentioned.)\n
<Point3_case3:1> *False* (The revisits are not made more specific or focused in this context.)\n",,
CPTA2a,One of the principles underlying agile methods is “Customer collaboration over contract negotiation”. State one obvious evidence where Scrum framework complying with this principle.,3,"<Point1_case1:3>Product owner<Point1_case1:3>, <Point2_case1:2>scrum teams<Point2_case1:2>, <Point3_case1:1>Scrum/project master<Point3_case1:1>","<Point2>if scrum teams, owner, or the term ""teams"", of which the meaning can be figured out as ""scrum team"" in the answer context True<Point2>, <Point3>if customer False<Point3>
","Rather than spending time developing, analyzing and negotiating requirements to be included in a system contract, agile developers argue that it is more effective to get feedback from customer's directly during the development about what is required.  This allows useful functionality to be developed and delivered earlier than would be  possible if contracts were required.
<Point1_case1:3> *False* (The student's answer does not directly address the role of the Product Owner, who is responsible for defining and prioritizing the product backlog based on customer needs.)\n
<Point2_case1:2> *False* (The answer fails to mention the collaborative effort of Scrum teams in iterating and delivering increments of the product.)\n
<Point3_case1:1> *False* (The student's answer does not acknowledge the role of the Scrum Master or Project Master in facilitating the Agile process and removing obstacles.)\n","The Scrum framework is a simple, people-centric framework where the Scrum team The Scrum framework is a simple, people-centric framework where the Scrum team has a product owner who decides what to develop and in what order. has a product owner who decides what to develop and in what order.
<Point1_case1:3> *True* (The student's answer correctly identifies the role of the Product Owner, who is responsible for deciding what to develop and in what order.)\n
<Point2_case1:2> *True* (The answer accurately reflects the people-centric nature of Scrum, where the Scrum team collaborates closely with the Product Owner.)\n
<Point3_case1:1> *True* (Although the Scrum Master is not explicitly mentioned, the description of the Scrum framework implies an understanding of the roles and the collaborative nature of the process.)\n","The agile methods require customer to understand the development process of the software well and know their requirements clearly. In order to reach the requirement, collaboration with customers over contract negotiation is very important.
<Point1_case1:3> *False* (The answer does not mention the role of the Product Owner, who is crucial in deciding what to develop and in what order within the Scrum framework.)\n
<Point2_case1:2> *False* (The student does not address the Scrum teams or their collaborative role in the development process.)\n
<Point3_case1:1> *False* (The role of the Scrum Master or the importance of a people-centric approach in Scrum is not mentioned in the answer.)\n", 
CPTA2b,"In Scrum framework, the Scrum team specifies user requirements in Product Backlog Item (PBI). One of the popular formats for writing PBI is User Story. Below is the Acceptance Criteria for a User Story named “Change UI Language”, what is missing in the Acceptance Criteria? Acceptance Criteria: When a user clicked on the “Change Language” button, a change language dialog box with a list of available languages should be displayed on the center of the screen.",3,"<Point1_case1:1>Given that I am in the Setting page<Point1_case1:1> <Point2_case1:1>When a user clicked on the ""Change Language"" button<Point2_case1:1> <Point3_case1:1>Then a change language dialog box with a list of available languages should be displayed on the center of the screen<Point3_case1:1>",,"Lack of the situation statement of 'Given...' , for example: Given that I am in the Setting page, when a user clicked on the “Change Language? button, a change language dialog box with a list of available languages should be displayed on the center
<Point1_case1:1> *True* (The student's answer correctly identifies the need for the situation statement ""Given that I am in the Setting page"".)\n
<Point2_case1:1> *True* (The student correctly describes the ""When"" clause by mentioning the user's action of clicking on the ""Change Language"" button.)\n
<Point3_case1:1> *False* (The student does not explicitly state that the dialog box should be displayed in the center of the screen, which is crucial for full points. The lack of clarity in the placement leads to a deduction.)\n","Missing from the acceptance criteria are pre-defined standards or requirements for UI Missing from the acceptance criteria are pre-defined standards or requirements for UI product.
<Point1_case1:1> *False* (The student's answer does not mention the necessary situation statement ""Given that I am in the Setting page."")\n
<Point2_case1:1> *False* (The student's answer does not address the user action of clicking the ""Change Language"" button.)\n
<Point3_case1:1> *True* (The student alludes to the missing pre-defined standards or requirements for the UI, which can be interpreted as part of the expected behavior, though it is not explicitly detailed.)\n","The detailed list of all the languages and the style and UI design of the requirement are missing.
<Point1_case1:1> *False* (The student's answer does not mention the necessary situation statement ""Given that I am in the Setting page."")\n
<Point2_case1:1> *False* (The student's answer does not address the user action of clicking the ""Change Language"" button.)\n
<Point3_case1:1> *False* (The student's answer does not address the expected outcome of displaying a dialog box with a list of available languages.)\n",,
CPTA3a,"An automated ticket-issuing system sells rail tickets. The user selects his destination and inputs a credit card and a personal identification number. The rail ticket is issued and charged to their credit card account. To begin, the user presses the start button. The system activates a menu displaying the potential destinations and sends a message to the user to select a destination. Once the user selects a destination, the system requests the user to insert his credit card. The system checks the credit card validity and requires the user to input a personal identifier. When the credit transaction is validated by the credit card center, the ticket is issued. If the user enters an invalid personal identifier for the credit card, the system will prompt the user and terminate the transaction. The above statement is extracted from a customer during requirement discovery. If the 
requirements are recorded in the below Structured Requirement Form, which row should you record: “If the user enters an invalid personal identifier for the credit card, the system will prompt the user and terminate the transaction.” “Ticket is dispensed; credit card account is charged; transaction is recorded.”",4,"<Point1_case1:2>Exception<Point1_case1:2>, <Point2_case1:2>row 7/7<Point2_case1:2>, <Point3_case1:2>Post-condition<Point3_case1:2>, <Point3_case2:2>part of record is post-condition<Point3_case2:2>","<Point1>if row 1 function nane False<Point1>, <Point1>if exception and other rows False<Point1>, <Point3>if it has post-condition, but not for the record in question False<Point3>, <Point3>if it has post-condition, but also include other row(s) False<Point3>
","Exception;Post-condition
<Point1_case1:2>*True*(The student correctly identifies that an invalid personal identifier leading to a prompt and transaction termination is an Exception.)\n<Point2_case1:2> *False* (The student did not provide the correct row number in the Structured Requirement Form.)\n<Point3_case1:2>*True*(The student correctly identifies that the dispensing of the ticket, charging the credit card, and recording the transaction are Post-conditions. )\n<Point3_case2:2> *False* (The student does not mention 'part of record'.)\n","Post-condition; Exception
<Point1_case1:2> *False*(The student does not correctly identify that an invalid personal identifier leading to a prompt and transaction termination is an Exception.)\n<Point2_case1:2> *False* (The student did not provide the correct row number in the Structured Requirement Form.)\n<Point3_case1:2>*False*(The student does not correctly identify that the dispensing of the ticket, charging the credit card, and recording the transaction are Post-conditions. ))\n<Point3_case2:2> *False* (The student does not mention 'part of record'.)\n","‘Exception’ row；‘Main Scenario' row
<Point1_case1:2>*True*(The student correctly identifies that an invalid personal identifier leading to a prompt and transaction termination is an Exception.)\n<Point2_case1:2> *False* (The student did not provide the correct row number in the Structured Requirement Form.)\n\n<Point3_case1:2>*False*(The student does not correctly identify that the dispensing of the ticket, charging the credit card, and recording the transaction are Post-conditions. ))\n<Point3_case2:2> *False* (The student does not mention 'part of record'.)\n",,
CPTA3b,"An automated ticket-issuing system sells rail tickets. The user selects his destination and inputs a 
credit card and a personal identification number. The rail ticket is issued and charged to their credit 
card account. To begin, the user presses the start button. The system activates a menu displaying the potential destinations and sends a message to the user to select a destination. Once the user selects a destination, the system requests the user to insert his credit card. The system checks the credit card validity and requires the user to input a personal identifier. When the credit transaction is validated by the credit card center, the ticket is issued. If the user enters an invalid personal identifier for the credit card, the system will prompt the user and terminate the transaction. Apart from the “user”, who is the second actor in the requirement?",3,"<Point1_case1:3>Credit card center<Point1_case1:3>, <Point1_case2:3>Credit card bank<Point1_case2:3>, <Point2_case1:2>credit card holder<Point2_case1:2>, <Point2_case2:2>credit card company<Point2_case2:2>, <Point2_case3:2>credit card / credit transaction<Point2_case3:2>, <Point2_case4:2>credit card hub<Point2_case4:2>","<Point1>if credit card center with spell mistake True<Point1>, <Point2>if credit card with spell mistake True<Point2>, ","Credit card center
<Point1_case1:3> *True* (The student correctly identifies ""Credit card center"" as a valid actor.)\n<Point1_case2:3> *False* (The student did not mention ""Credit card bank"", another correct answer.)\n<Point2_case1:2> *False* (The student did not include other valid options like ""credit card holder"" or similar.)\n<Point2_case2:2> *False* (The student did not mention ""Credit card company"", another correct answer.)\n<Point2_case3:2> *False*(The student did not mention ""credit card / credit transaction"" another correct answer.)\n<Point2_case4:2> *False* (The student did not mention ""credit card hub"", another correct answer.)\n","The automated ticket-issuing system
<Point1_case1:3> *False* (The student did not identify ""Credit card center"" or ""Credit card bank"" as a correct answer.)\n<Point1_case2:3> *False* (The student did not mention ""Credit card bank"" as a valid actor.)\n<Point2_case1:2> *False* (The student did not identify other options such as ""credit card holder"" or ""credit card company."")\n<Point2_case2:2> *False *(The student missed mentioning ""credit card company"" as a valid actor.)\n<Point2_case3:2> *False* (The student did not include ""credit card / credit transaction"" as valid options.)\n<Point2_case4:2> *False* (The student did not recognize ""credit card hub"" as an alternative correct answer.)\n","Credit card
<Point1_case1:3> *False* (The student did not mention ""Credit card center"" as a correct answer.)\n<Point1_case2:3> *False* (The student did not mention ""Credit card bank"" as a valid actor.)\n<Point2_case1:2> *False* (The student missed identifying ""credit card holder"" as a valid actor.)\n<Point2_case2:2> *False* (The student did not recognize ""credit card company"" as an alternative correct answer.)\n<Point2_case3:2> *True* (The student  includes ""credit card / credit transaction"" as a valid option.)\n<Point2_case4:2> *False* (The student did not recognize ""credit card hub"" as a correct answer.)\n
",,
CPTA4,List and explain the FOUR steps of Project Risk Management.,12,"<Point1_case1:1>Risk identification.<Point1_case1:1>, <Point2_case1:2>It is concerned with identifying the risks that could pose a major threat to the software engineering process, the software being developed, or the development organization.<Point2_case1:2> <Point3_case1:1>Risk analysis.<Point3_case1:1> <Point4_case1:2>It focuses on the consideration of the identified risk and make a judgment about the probability and seriousness of that risk.<Point4_case1:2> <Point5_case1:1>Risk planning.<Point5_case1:1> <Point6_case1:2> The risk planning process considers each of the key risks that have been identified, and develops strategies to manage these risks.<Point6_case1:2> <Point7_case1:1>Risk monitoring<Point7_case1:1>. <Point8_case1:2> Risk monitoring is the process of checking that your assumptions about the product, process, and business risks have not changed.<Point8_case1:2>",,"1.Risk identification:find the potential risks including project risks,product risks and busines2.Risk analysis:find the reason and consequences of risks found.3.Risk planning:find the way to minimize the damage of risk4.Risk monitoring:take notes when risk comes and learn from its risks.
<Point1_case1:1> *True* (The student correctly identifies risk identification as a step in Project Risk Management.)\n<Point2_case1:2> *True* (The student mentions finding reasons and consequences.)\n<Point3_case1:1> *True* (The student mentions minimizing damage.)\n<Point4_case1:2> *False* (The student does not accurately describe the ongoing process of monitoring and checking assumptions about risks.)\n<Point5_case1:1> *True* (The student correctly identifies risk planning as a step in Project Risk Management.)\n<Point6_case1:2> *True* (The student has a good description about risk planning.)\n<Point7_case1:1> *True* (The student correctly identifies risk monitoring as a step in Project Risk Management.)\n<Point8_case1:2> *True* (The student has a good description about risk monitoring.)\n","1.Risk Identification. Identify the potential risks and their risk types that might happened during 2.Risk Analysis.Analyse the possibility the risk may happen and the potential effect. 3.Risk Strategy.Propose some strategies that can handle the risks. 4.Risk monitoring. Identify some indicators that the risk and re-evaluate the risks tothe process.of the risks.see whether the new risks come up.
<Point1_case1:1> *True* (The student correctly identifies risk identification as a step in Project Risk Management.)\n<Point2_case1:2> *True* (The student mentions finding reasons and consequences.)\n<Point3_case1:1> *True* (The student mentions minimizing damage.)\n<Point4_case1:2> *False* (The student does not accurately describe the ongoing process of monitoring and checking assumptions about risks.)\n<Point5_case1:1> *Flase* (The student’s ""Risk Strategy"" is not equivalent to ""Risk Planning"" or does not fully address developing strategies.)\n<Point6_case1:2> *False* (The student does not describe the depth of ""Risk planning"" as required.)\n<Point7_case1:1> *True* (The student correctly identifies risk monitoring as a step in Project Risk Management.)\n<Point8_case1:2> *True* (The student has a good description about risk monitoring.)\n","1.Risk identification: It means identifying the possibleproject,product,and business risks.It is the first stage of the rislmanagement process,concerning with identifying major risks.It can be a team process and can solelyrely on managers'experiences. 2.Risk analysis: It means assessing the likelihood and consequences of these risks. 3.Risk planning:It means planning to address the risk,either by avoiding it or minimizing its effectson the project. 4.Risk monitoring: It means regularly assessing the risk and your plans for risk mitigation and revising these when you learn more about the risk.
<Point1_case1:1> *True* (The student correctly identifies risk identification as a step in Project Risk Management.)\n<Point2_case1:2> *True* (The student mentions finding reasons and consequences.)\n<Point3_case1:1> *True* (The student mentions minimizing damage.)\n<Point4_case1:2> *False* (The student does not accurately describe the ongoing process of monitoring and checking assumptions about risks.)\n<Point5_case1:1> *True* (The student correctly identifies risk planning as a step in Project Risk Management.)\n<Point6_case1:2> *True* (The student has a good description about risk planning.)\n<Point7_case1:1> *True* (The student correctly identifies risk monitoring as a step in Project Risk Management.)\n<Point8_case1:2> *True* (The student has a good description about risk monitoring.)\n",,
CPTA5a,"A well-formed design class should have four characteristics including: complete and sufficient, primitiveness,high cohesion, and low coupling. Please explain any THREE of these four characteristics.",6,"<Point1_case1:1>Complete and sufficient.<Point1_case1:1> <Point2_case1:1>A design class should be the complete encapsulation of all attributes and methods that can reasonably be expected (based on a knowledgeable interpretation of the class name) to exist for the class. Sufficiency ensures that the design class contains only those methods that are sufficient to achieve the intent of the class, no more and no less.<Point2_case1:1> <Point3_case1:1>Primitiveness.<Point3_case1:1> <Point4_case1:1>Methods associated with a design class should be focused on accomplishing one service for the class. <Point4_case1:1> <Point5_case1:1>High cohesion.<Point5_case1:1> <Point6_case1:1>A cohesive design class has a small, focused set of responsibilities and singlemindedly applies attributes and methods to implement those responsibilities.<Point6_case1:1> <Point7_case1:1>Low coupling.<Point7_case1:1> <Point8_case1:1>Within the design model, it is necessary for design classes to collaborate with one another.<Point8_case1:1>",,"1. Complete and sufficient. A design class should be the complete encapsulation of all attributes and methods that can reasonably be expected (based on a knowledgeable interpretation of the class name) to exist for the class. Sufficiency ensures that the design class contains only those methods that are sufficient to achieve the intent of the class, no more and no less.2. Primitiveness. Methods associated with a design class should be focused on accomplishing one service for the class.3. High cohesion. A cohesive design class has a small, focused set of responsibilities and single-mindedly apply attributes and methods to implement those responsibilities.
<Point1_case1:1> *True* (The student correctly mentions ""Complete and sufficient."")\n<Point2_case1:1> *True* (The student correctly explains ""Complete and sufficient."")\n<Point3_case1:1> *True* (The student accurately mentions ""Primitiveness."")\n<Point4_case1:1> *True* (The student accurately describes ""Primitiveness."")\n<Point5_case1:1> *True* (The student correctly mentions ""High cohesion."")\n<Point6_case1:1> *True* (The student correctly explains ""High cohesion."")\n<Point7_case1:1> *False* (The student did not mention ""Low coupling."")\n<Point8_case1:1> *False* (The student did not address ""Low coupling."")\n
","1.low coupling: the attributes and methods in a class should have less dependency so when one of the attributes changes, others will not neccesary to be changed together.2.Primitiveness: The class should not be changed frequently.3.high cohesion: the attributes and methods in a class should have high relavent and usually the size of classes are small.
<Point1_case1:1> *False* (The student did not mention ""Complete and sufficient."")\n<Point2_case1:1> *False* (The student did not explain ""Complete and sufficient."")\n<Point3_case1:1> *True* (The student accurately mentions ""Primitiveness."")\n<Point4_case1:1> *False* (The student did not accurately describe ""Primitiveness."")\n<Point5_case1:1> *True* (The student correctly mentions ""High cohesion."")\n<Point6_case1:1> *True* (The student correctly explains ""High cohesion."")\n<Point7_case1:1> *True* (The student correctly mentions ""Low coupling."")\n<Point8_case1:1> *True* (The student correctly explains ""Low coupling."")\n
","1. High cohesion means all elements in the module are related to the module.2. Low coupling is that relationship between modules is highly independent.3. Complete and sufficient means the design contains all the functions required and functions are complete.
<Point1_case1:1> *True* (The student correctly mentions ""Complete and sufficient."")\n<Point2_case1:1> *True* (The student correctly explains ""Complete and sufficient."")\n<Point3_case1:1> *False* (The student did not accurately mention ""Primitiveness."")\n<Point4_case1:1> *False* (The student did not accurately describe ""Primitiveness."")\n<Point5_case1:1> *True* (The student correctly mentions ""High cohesion."")\n<Point6_case1:1> *False* (The student did not correctly explain ""High cohesion."")\n<Point7_case1:1> *True* (The student correctly mentions ""Low coupling."")\n<Point8_case1:1> *True* (The student correctly explains ""Low coupling."")\n",,
CPTA6a,Describe the 3 stages of software testing.,6,<Point1_case1:1>Development testing<Point1_case1:1> <Point2_case1:1>where the system is tested during development to discover bugs and defects.<Point2_case1:1> <Point3_case1:1>Release testing<Point3_case1:1> <Point4_case1:1>where a separate testing team test a complete version of the system before it is released to users.<Point4_case1:1> <Point5_case1:1>User testing<Point5_case1:1> <Point6_case1:1>where users or potential users of a system test the system in their own environment.<Point6_case1:1>,,"1.Unit Testing.Testing on elements in the unit.2.Component Testing.Testing the interactions between components.3.Interface Testing.Testing the interactions between interface and software.
<Point1_case1:1> *False* (The student’s description of Unit Testing does not align with ""Development testing"" or its purpose in the development phase.)\n<Point2_case1:1>*False* (The student did not explain the development testing)\n<Point3_case1:1> *False* (The student’s description of Component Testing does not match ""Release testing"" or the context of a separate team testing the complete system.)\n<Point4_case1:1> *False* (The student did not explain the release testing.)\n<Point5_case1:1> *False* (The student’s description of Interface Testing does not correspond to ""User testing"" or the involvement of end users testing in their own environment.)\n<Point6_case1:1> *False* (The student did not explain the user testing.)\n","1.Unit testing tests each unit/part individually and find errors in each unit.2.Component testing puts several units related to test the situation units work together3.System testing tests the performance by take test in different environment(publiser'ssystem and customer's system)and different operation system etc.
<Point1_case1:1> *False* (The student’s description of Unit Testing does not align with ""Development testing"" or its purpose in the development phase.)\n<Point2_case1:1>*True* (The student explains the development testing)\n<Point3_case1:1> *False* (The student’s description of Component Testing does not match ""Release testing"" or the context of a separate team testing the complete system.)\n<Point4_case1:1> *False* (The student did not explain the release testing.)\n<Point5_case1:1> *False* (The student’s description of Interface Testing does not correspond to ""User testing"" or the involvement of end users testing in their own environment.)\n<Point6_case1:1> *True* (The student correctly explains the user testing.)\n","1. Development testing, where the system is tested during development to discover bugs and defects.
2. Release testing, where a separate testing team test a complete version of the system before it is released to
users.
3. User testing, where users or potential users of a system test the system in their own environment
<Point1_case1:1> *True* (The student accurately describes the purpose and process of ""Development testing."")\n<Point2_case1:1> *True* (The student  correctly explains the developing testing)\n<Point3_case1:1> *True* (The student correctly outlines ""Release testing"" and the involvement of a separate testing team before the system is released.)\n<Point4_case1:1> *True* (The student  correctly explains the release testing.)\n<Point5_case1:1> *True* (The student correctly outlines ""user testing"".)\n<Point6_case1:1> *True* (The student correctly explains ""User testing"" and the role of users in testing the system within their own environment.)\n",,
