QuestionCode,StudentAns,ManualScore,User,,
CPTA1a,"In the waterfall model, documents are generated at each stage. This makes the process visible so that managers can design based on Development Plan to monitor progress.","2/2 points
""<Point1_case1:False>,<Point1_case2:False>,<Point1_case3:True>""",H1,,
CPTA1a,An autonomous vehicle system is a safety-critical system so requires a lot of up-front analysis before implementation. It certainly needs a plan-driven approach to development with the requirements carefully analyzed. A waterfall model is therefore the most appropriate approach to use. perhaps with formal transformations between the different development stages.,"2/2 points
""<Point1_case1:True>,<Point1_case2:False>,<Point1_case3:True>""",H2,,
CPTA1a,"One reason for using the waterfall model in software development for autonomous vehicles is that it allows for clear and distinct phases of development, which can be helpful in managing the complexity of such systems. Since in the waterfall model, documentation is produced at each phase.","2/2 points
""<Point1_case1:False>,<Point1_case2:False>,<Point1_case3:True>""",H3,,
CPTA1a,"Like the factory assembly line, the software development process is divided into various processes and each process can be subdivided into more detailed process.","1/2 points
""<Point1_case1:True>,<Point1_case2:False>,<Point1_case3:False>""",M1,
CPTA1a,"Waterfall model is a step by step model, the steam must complete the previous stage before moving on to the next stage. This means waterfall model has a clear structure and the base of the project will be nicely built.  ","0/2 points
""<Point1_case1:False>,<Point1_case2:False>,<Point1_case3:False>""",M2,
CPTA1a,"Each stage of the assessment is passed before the next stage begins,ensure the quality. ","0/2 points
""<Point1_case1:False>,<Point1_case2:False>,<Point1_case3:False>""",M3,
CPTA1a,"One reason to use the Waterfall model is that it can be a useful approach for projects that have well-defined requirements and deliverables, and where the scope of the project is not expected to change significantly. In this case, Waterfall model can provide a clear and structed process.","0/2 points
""<Point1_case1:False>,<Point1_case2:False>,<Point1_case3:False>""",L9,
CPTA1a,Documentation is produced at each phase. This makes the process visible so managers can monitor process against the development plan.,"2/2 points
""<Point1_case1:False>,<Point1_case2:False>,<Point1_case3:True>""",L8,
CPTA1a,"Every stage of waterfall model needs documentation to be approved and ""sign off"", which makes the process visible.","2/2 points
""<Point1_case1:False>,<Point1_case2:False>,<Point1_case3:True>""",L7,
CPTA1b,"Considering of the costs of reproducing documents and more time and energy spent on communication to do adjustments, revisiting the software specification stage can be costly and involve significant rework.","2/2 points
""<Point1_case1: False>,<Point1_case2:True>,<Point1_case3:False>,<Point1_case4:False>,<Point1_case5: False>,<Point1_case6:False>,<Point1_case7:False>,<Point1_case8:False>""",H1,,
