Model Name,Zero-shot,One-shot,Few-shot
Athene-70B,"F1 score:                0.8864
Precision score: 0.8171
Recall score:        0.9684
Mismatch percentage: 0.00%","F1 score:                0.8916
Precision score: 0.8150
Recall score:        0.9842
Mismatch percentage: 0.00%","F1 score:                0.8932
Precision score: 0.8130
Recall score:        0.9910
Mismatch percentage: 0.00%"
Aya-23-8B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
ChatGLM4-9B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
DeepSeek-Coder-V2-Lite,"F1 score:                0.8622
Precision score: 0.8019
Recall score:        0.9323
Mismatch percentage: 1.07%","F1 score:                0.8604
Precision score: 0.7939
Recall score:        0.9391
Mismatch percentage: 0.89%","F1 score:                0.8668
Precision score: 0.7936
Recall score:        0.9549
Mismatch percentage: 0.89%"
DeepSeek-V2-Lite,"F1 score:                0.7376
Precision score: 0.7392
Recall score:        0.7359
Mismatch percentage: 22.60%","F1 score:                0.8444
Precision score: 0.7812
Recall score:        0.9187
Mismatch percentage: 0.18%","F1 score:                0.8770
Precision score: 0.8030
Recall score:        0.9661
Mismatch percentage: 6.41%"
Gemma-1.1-7B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Gemma-2-9B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Internlm2-7B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Internlm2.5-7B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Llama-3-70B,"F1 score:                0.8937
Precision score: 0.8232
Recall score:        0.9774
Mismatch percentage: 0.00%","F1 score:                0.8985
Precision score: 0.8233
Recall score:        0.9887
Mismatch percentage: 0.00%","F1 score:                0.8966
Precision score: 0.8202
Recall score:        0.9887
Mismatch percentage: 0.00%"
Llama-3-8B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Llama-3.1-70B,"F1 score:                0.8894
Precision score: 0.8638
Recall score:        0.9165
Mismatch percentage: 0.00%","F1 score:                0.8920
Precision score: 0.8476
Recall score:        0.9413
Mismatch percentage: 0.00%","F1 score:                0.8948
Precision score: 0.8454
Recall score:        0.9503
Mismatch percentage: 0.00%"
Mistral-7B-v0.3,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Mistral-Large-2,"F1 score:                0.9029
Precision score: 0.8324
Recall score:        0.9865
Mismatch percentage: 0.00%","F1 score:                0.9072
Precision score: 0.8349
Recall score:        0.9932
Mismatch percentage: 0.00%","F1 score:                0.9057
Precision score: 0.8293
Recall score:        0.9977
Mismatch percentage: 0.00%"
Mixtral-8x7B,"F1 score:                0.7897
Precision score: 0.7870
Recall score:        0.7923
Mismatch percentage: 17.79%","F1 score:                0.8707
Precision score: 0.8150
Recall score:        0.9345
Mismatch percentage: 6.76%","F1 score:                0.8389
Precision score: 0.8050
Recall score:        0.8758
Mismatch percentage: 2.67%"
Phi3-small,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Qwen1.5-110B,"F1 score:                0.8678
Precision score: 0.7847
Recall score:        0.9707
Mismatch percentage: 6.23%","F1 score:                0.8831
Precision score: 0.7921
Recall score:        0.9977
Mismatch percentage: 0.18%","F1 score:                0.8831
Precision score: 0.7921
Recall score:        0.9977
Mismatch percentage: 0.00%"
Qwen1.5-14B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Qwen1.5-32B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Qwen2-72B,"F1 score:                0.8923
Precision score: 0.8115
Recall score:        0.9910
Mismatch percentage: 0.00%","F1 score:                0.8842
Precision score: 0.7925
Recall score:        1.0000
Mismatch percentage: 0.00%","F1 score:                0.8851
Precision score: 0.7939
Recall score:        1.0000
Mismatch percentage: 0.00%"
Qwen2-7B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Yi-1.5-34B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Yi-1.5-9B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
