Model Name,Zero-shot,One-shot,Few-shot
Athene-70B,"F1 score:                0.8400
Precision score: 0.8015
Recall score:        0.8824
Mismatch percentage: 1.13%",Matched,"F1 score:                0.8473
Precision score: 0.7762
Recall score:        0.9328
Mismatch percentage: 0.75%"
Aya-23-8B,"F1 score:                0.6536
Precision score: 0.4895
Recall score:        0.9832
Mismatch percentage: 6.02%",Matched,"F1 score:                0.6585
Precision score: 0.5167
Recall score:        0.9076
Mismatch percentage: 3.38%"
ChatGLM4-9B,"F1 score:                0.7826
Precision score: 0.6879
Recall score:        0.9076
Mismatch percentage: 5.26%","F1 score:                0.8029
Precision score: 0.7097
Recall score:        0.9244
Mismatch percentage: 0.75%","F1 score:                0.8261
Precision score: 0.7261
Recall score:        0.9580
Mismatch percentage: 1.13%"
DeepSeek-Coder-V2-Lite,"F1 score:                0.7113
Precision score: 0.6121
Recall score:        0.8487
Mismatch percentage: 3.38%",Matched,"F1 score:                0.7823
Precision score: 0.6974
Recall score:        0.8908
Mismatch percentage: 1.13%"
DeepSeek-V2-Lite,"F1 score:                0.6494
Precision score: 0.5291
Recall score:        0.8403
Mismatch percentage: 8.27%","F1 score:                0.7181
Precision score: 0.6643
Recall score:        0.7815
Mismatch percentage: 9.02%","F1 score:                0.7510
Precision score: 0.6901
Recall score:        0.8235
Mismatch percentage: 0.75%"
Gemma-1.1-7B,"F1 score:                0.4242
Precision score: 0.3539
Recall score:        0.5294
Mismatch percentage: 50.00%","F1 score:                0.7375
Precision score: 0.6099
Recall score:        0.9328
Mismatch percentage: 2.26%","F1 score:                0.6351
Precision score: 0.5311
Recall score:        0.7899
Mismatch percentage: 10.90%"
Gemma-2-9B,"F1 score:                0.8455
Precision score: 0.8189
Recall score:        0.8739
Mismatch percentage: 1.13%","F1 score:                0.8353
Precision score: 0.8000
Recall score:        0.8739
Mismatch percentage: 1.13%","F1 score:                0.8514
Precision score: 0.8154
Recall score:        0.8908
Mismatch percentage: 1.13%"
Internlm2-7B,"F1 score:                0.7832
Precision score: 0.6707
Recall score:        0.9412
Mismatch percentage: 0.38%",Matched,"F1 score:                0.7970
Precision score: 0.7105
Recall score:        0.9076
Mismatch percentage: 0.75%"
Internlm2.5-7B,"F1 score:                0.7405
Precision score: 0.6294
Recall score:        0.8992
Mismatch percentage: 5.64%","F1 score:                0.7267
Precision score: 0.6022
Recall score:        0.9160
Mismatch percentage: 5.26%","F1 score:                0.7213
Precision score: 0.5914
Recall score:        0.9244
Mismatch percentage: 4.14%"
Llama-3-8B,"F1 score:                0.6201
Precision score: 0.6455
Recall score:        0.5966
Mismatch percentage: 21.05%","F1 score:                0.7874
Precision score: 0.7407
Recall score:        0.8403
Mismatch percentage: 2.26%",Matched
Mistral-7B-v0.3,None,None,None
Mixtral-8x7B,None,"F1 score:                0.7224
Precision score: 0.6000
Recall score:        0.9076
Mismatch percentage: 6.02%","F1 score:                0.7475
Precision score: 0.6129
Recall score:        0.9580
Mismatch percentage: 3.38%"
Phi3-small,"F1 score:                0.6235
Precision score: 0.4927
Recall score:        0.8487
Mismatch percentage: 36.09%","F1 score:                0.8289
Precision score: 0.7569
Recall score:        0.9160
Mismatch percentage: 2.63%","F1 score:                0.8276
Precision score: 0.7606
Recall score:        0.9076
Mismatch percentage: 0.38%"
Qwen1.5-110B,"F1 score:                0.6689
Precision score: 0.5556
Recall score:        0.8403
Mismatch percentage: 26.32%","F1 score:                0.8276
Precision score: 0.7606
Recall score:        0.9076
Mismatch percentage: 2.26%","F1 score:                0.8397
Precision score: 0.7692
Recall score:        0.9244
Mismatch percentage: 2.26%"
Qwen1.5-14B,"F1 score:                0.7154
Precision score: 0.6596
Recall score:        0.7815
Mismatch percentage: 3.01%","F1 score:                0.7765
Precision score: 0.7279
Recall score:        0.8319
Mismatch percentage: 6.02%","F1 score:                0.7791
Precision score: 0.7462
Recall score:        0.8151
Mismatch percentage: 5.26%"
Qwen1.5-32B,"F1 score:                0.8222
Precision score: 0.7351
Recall score:        0.9328
Mismatch percentage: 1.50%",Matched,Matched
Qwen2-72B,Matched,Matched,"F1 score:                0.8462
Precision score: 0.7801
Recall score:        0.9244
Mismatch percentage: 1.13%"
Qwen2-7B,"F1 score:                0.7893
Precision score: 0.7254
Recall score:        0.8655
Mismatch percentage: 2.26%",Matched,"F1 score:                0.7869
Precision score: 0.7680
Recall score:        0.8067
Mismatch percentage: 0.38%"
Yi-1.5-34B,"F1 score:                0.7803
Precision score: 0.7103
Recall score:        0.8655
Mismatch percentage: 1.13%",Matched,"F1 score:                0.7674
Precision score: 0.7122
Recall score:        0.8319
Mismatch percentage: 2.26%"
Yi-1.5-9B,"F1 score:                0.7793
Precision score: 0.6608
Recall score:        0.9496
Mismatch percentage: 3.76%","F1 score:                0.8042
Precision score: 0.6886
Recall score:        0.9664
Mismatch percentage: 6.02%","F1 score:                0.8029
Precision score: 0.7000
Recall score:        0.9412
Mismatch percentage: 2.26%"
