Model Name,Zero-shot,One-shot,Few-shot
Athene-70B,"F1 score:                0.8908
Precision score: 0.8430
Recall score:        0.9444
Mismatch percentage: 0.00%","F1 score:                0.8870
Precision score: 0.8092
Recall score:        0.9815
Mismatch percentage: 0.00%","F1 score:                0.8945
Precision score: 0.8217
Recall score:        0.9815
Mismatch percentage: 0.00%"
Aya-23-8B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
ChatGLM4-9B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
DeepSeek-Coder-V2-Lite,"F1 score:                0.8607
Precision score: 0.7721
Recall score:        0.9722
Mismatch percentage: 7.50%","F1 score:                0.8490
Precision score: 0.7591
Recall score:        0.9630
Mismatch percentage: 7.50%","F1 score:                0.8151
Precision score: 0.7462
Recall score:        0.8981
Mismatch percentage: 5.00%"
DeepSeek-V2-Lite,"F1 score:                0.7511
Precision score: 0.7345
Recall score:        0.7685
Mismatch percentage: 6.25%","F1 score:                0.7254
Precision score: 0.8235
Recall score:        0.6481
Mismatch percentage: 9.38%","F1 score:                0.8225
Precision score: 0.7724
Recall score:        0.8796
Mismatch percentage: 3.12%"
Gemma-1.1-7B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Gemma-2-9B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Internlm2-7B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Internlm2.5-7B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Llama-3-70B,"F1 score:                0.8870
Precision score: 0.8361
Recall score:        0.9444
Mismatch percentage: 0.00%","F1 score:                0.8908
Precision score: 0.8154
Recall score:        0.9815
Mismatch percentage: 0.00%","F1 score:                0.8870
Precision score: 0.8092
Recall score:        0.9815
Mismatch percentage: 0.00%"
Llama-3-8B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Llama-3.1-70B,"F1 score:                0.8996
Precision score: 0.8512
Recall score:        0.9537
Mismatch percentage: 0.00%","F1 score:                0.8996
Precision score: 0.8512
Recall score:        0.9537
Mismatch percentage: 0.00%","F1 score:                0.8918
Precision score: 0.8374
Recall score:        0.9537
Mismatch percentage: 0.00%"
Mistral-7B-v0.3,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Mistral-Large-2,"F1 score:                0.9163
Precision score: 0.8739
Recall score:        0.9630
Mismatch percentage: 0.00%","F1 score:                0.9099
Precision score: 0.8480
Recall score:        0.9815
Mismatch percentage: 0.00%","F1 score:                0.9138
Precision score: 0.8548
Recall score:        0.9815
Mismatch percentage: 0.00%"
Mixtral-8x7B,"F1 score:                0.8426
Precision score: 0.7795
Recall score:        0.9167
Mismatch percentage: 0.00%","F1 score:                0.8353
Precision score: 0.7376
Recall score:        0.9630
Mismatch percentage: 0.00%","F1 score:                0.8446
Precision score: 0.7413
Recall score:        0.9815
Mismatch percentage: 0.00%"
Phi3-small,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Qwen1.5-110B,"F1 score:                0.8201
Precision score: 0.7481
Recall score:        0.9074
Mismatch percentage: 10.00%","F1 score:                0.8607
Precision score: 0.7721
Recall score:        0.9722
Mismatch percentage: 0.00%","F1 score:                0.8714
Precision score: 0.7895
Recall score:        0.9722
Mismatch percentage: 0.00%"
Qwen1.5-14B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Qwen1.5-32B,"F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None","F1 score:                None
Precision score: None
Recall score:        None
Mismatch percentage: None"
Qwen2-72B,"F1 score:                0.9013
Precision score: 0.8400
Recall score:        0.9722
Mismatch percentage: 0.00%","F1 score:                0.9013
Precision score: 0.8400
Recall score:        0.9722
Mismatch percentage: 0.00%","F1 score:                0.8983
Precision score: 0.8281
Recall score:        0.9815
Mismatch percentage: 0.00%"
