Model Name,Zero-shot,One-shot,Few-shot
Aya-23-8B,"F1 score:                0.8123
Precision score: 0.6928
Recall score:        0.9815
Mismatch percentage: 1.88%","F1 score:                0.8387
Precision score: 0.7429
Recall score:        0.9630
Mismatch percentage: 1.25%","F1 score:                0.8407
Precision score: 0.8051
Recall score:        0.8796
Mismatch percentage: 1.25%"
ChatGLM4-9B,"F1 score:                0.8571
Precision score: 0.8049
Recall score:        0.9167
Mismatch percentage: 1.88%",Matched,Matched
DeepSeek-Coder-V2-Lite,"F1 score:                0.8607
Precision score: 0.7721
Recall score:        0.9722
Mismatch percentage: 7.50%","F1 score:                0.8490
Precision score: 0.7591
Recall score:        0.9630
Mismatch percentage: 7.50%","F1 score:                0.8151
Precision score: 0.7462
Recall score:        0.8981
Mismatch percentage: 5.00%"
DeepSeek-V2-Lite,"F1 score:                0.7511
Precision score: 0.7345
Recall score:        0.7685
Mismatch percentage: 6.25%","F1 score:                0.7254
Precision score: 0.8235
Recall score:        0.6481
Mismatch percentage: 9.38%","F1 score:                0.8225
Precision score: 0.7724
Recall score:        0.8796
Mismatch percentage: 3.12%"
Gemma-1.1-7B,"F1 score:                0.0516
Precision score: 0.0851
Recall score:        0.0370
Mismatch percentage: 88.75%",Matched,"F1 score:                0.7469
Precision score: 0.6767
Recall score:        0.8333
Mismatch percentage: 11.25%"
Gemma-2-9B,"F1 score:                0.8696
Precision score: 0.8197
Recall score:        0.9259
Mismatch percentage: 0.62%","F1 score:                0.8811
Precision score: 0.8403
Recall score:        0.9259
Mismatch percentage: 0.62%",Matched
Internlm2.5-7B,"F1 score:                0.8537
Precision score: 0.7609
Recall score:        0.9722
Mismatch percentage: 1.25%","F1 score:                0.8413
Precision score: 0.7361
Recall score:        0.9815
Mismatch percentage: 0.62%","F1 score:                0.8327
Precision score: 0.7181
Recall score:        0.9907
Mismatch percentage: 3.12%"
Llama-3-8B,"F1 score:                0.8246
Precision score: 0.8447
Recall score:        0.8056
Mismatch percentage: 0.62%","F1 score:                0.8496
Precision score: 0.8136
Recall score:        0.8889
Mismatch percentage: 2.50%",Matched
Mistral-7B-v0.3,"F1 score:                0.8367
Precision score: 0.7343
Recall score:        0.9722
Mismatch percentage: 2.50%","F1 score:                0.8455
Precision score: 0.7536
Recall score:        0.9630
Mismatch percentage: 1.25%",Matched
Phi3-small,"F1 score:                0.8194
Precision score: 0.7815
Recall score:        0.8611
Mismatch percentage: 10.00%","F1 score:                0.8722
Precision score: 0.8319
Recall score:        0.9167
Mismatch percentage: 0.62%",Matched
Qwen1.5-110B,"F1 score:                0.8201
Precision score: 0.7481
Recall score:        0.9074
Mismatch percentage: 10.00%",Matched,Matched
Qwen1.5-14B,"F1 score:                0.8128
Precision score: 0.8018
Recall score:        0.8241
Mismatch percentage: 3.12%",Matched,Matched
Qwen2-7B,"F1 score:                0.8346
Precision score: 0.7260
Recall score:        0.9815
Mismatch percentage: 1.25%","F1 score:                0.8490
Precision score: 0.7591
Recall score:        0.9630
Mismatch percentage: 2.50%","F1 score:                0.8608
Precision score: 0.7907
Recall score:        0.9444
Mismatch percentage: 0.62%"
Yi-1.5-9B,"F1 score:                0.8618
Precision score: 0.7681
Recall score:        0.9815
Mismatch percentage: 1.25%","F1 score:                0.8619
Precision score: 0.7863
Recall score:        0.9537
Mismatch percentage: 5.00%",Matched
