Model Name,Zero-shot,One-shot,Few-shot,Dynamic
Aya-23-8B,"F1 score:                0.6045
Precision score: 0.4553
Recall score:        0.8992
Mismatch percentage: 23.68%",Matched,Matched,"F1 score:                0.6884
Precision score: 0.5321
Recall score:        0.9748
Mismatch percentage: 1.50%"
ChatGLM4-9B,Matched,Matched,Matched,"F1 score:                0.8401
Precision score: 0.7533
Recall score:        0.9496
Mismatch percentage: 0.13%"
Gemma-1.1-7B,"F1 score:                0.5914
Precision score: 0.4890
Recall score:        0.7479
Mismatch percentage: 27.07%","F1 score:                0.7636
Precision score: 0.6731
Recall score:        0.8824
Mismatch percentage: 3.76%","F1 score:                0.7554
Precision score: 0.6604
Recall score:        0.8824
Mismatch percentage: 3.38%","F1 score:                0.7926
Precision score: 0.7086
Recall score:        0.8992
Mismatch percentage: 2.63%"
Gemma-2-9B,"F1 score:                0.6977
Precision score: 0.5769
Recall score:        0.8824
Mismatch percentage: 24.06%",Matched,Matched,"F1 score:                0.8475
Precision score: 0.8547
Recall score:        0.8403
Mismatch percentage: 0.25%"
Internlm2-7B,"F1 score:                0.5490
Precision score: 0.5147
Recall score:        0.5882
Mismatch percentage: 41.35%",Matched,Matched,Matched
Internlm2.5-7B,"F1 score:                0.7443
Precision score: 0.6053
Recall score:        0.9664
Mismatch percentage: 4.51%",Matched,Matched,"F1 score:                0.8156
Precision score: 0.7055
Recall score:        0.9664
Mismatch percentage: 0.75%"
Jamba-1.5-Mini,"F1 score:                0.7239
Precision score: 0.6510
Recall score:        0.8151
Mismatch percentage: 3.38%","F1 score:                0.7640
Precision score: 0.6892
Recall score:        0.8571
Mismatch percentage: 3.01%","F1 score:                0.7631
Precision score: 0.7308
Recall score:        0.7983
Mismatch percentage: 1.13%",None
Llama-3-8B,"F1 score:                0.8033
Precision score: 0.8000
Recall score:        0.8067
Mismatch percentage: 0.38%","F1 score:                0.8145
Precision score: 0.7829
Recall score:        0.8487
Mismatch percentage: 2.63%",Matched,"F1 score:                0.8595
Precision score: 0.8455
Recall score:        0.8739
Mismatch percentage: 0.50%"
MiniCPM-2B,"F1 score:                0.3713
Precision score: 0.3032
Recall score:        0.4790
Mismatch percentage: 54.14%","F1 score:                0.6481
Precision score: 0.5122
Recall score:        0.8824
Mismatch percentage: 5.26%","F1 score:                0.6813
Precision score: 0.5423
Recall score:        0.9160
Mismatch percentage: 19.17%","F1 score:                0.7439
Precision score: 0.6386
Recall score:        0.8908
Mismatch percentage: 5.14%"
Mistral-7B-v0.3,"F1 score:                0.7134
Precision score: 0.5744
Recall score:        0.9412
Mismatch percentage: 12.41%","F1 score:                0.7368
Precision score: 0.6054
Recall score:        0.9412
Mismatch percentage: 12.41%","F1 score:                0.7400
Precision score: 0.6133
Recall score:        0.9328
Mismatch percentage: 6.77%","F1 score:                0.7261
Precision score: 0.5978
Recall score:        0.9244
Mismatch percentage: 15.54%"
Phi3-small,"F1 score:                0.5988
Precision score: 0.4651
Recall score:        0.8403
Mismatch percentage: 39.10%","F1 score:                0.8182
Precision score: 0.7448
Recall score:        0.9076
Mismatch percentage: 2.63%",Matched,"F1 score:                0.8090
Precision score: 0.7297
Recall score:        0.9076
Mismatch percentage: 3.38%"
Qwen1.5-110B,None,None,"F1 score:                0.8487
Precision score: 0.7566
Recall score:        0.9664
Mismatch percentage: 7.14%","F1 score:                0.8661
Precision score: 0.8148
Recall score:        0.9244
Mismatch percentage: 9.15%"
Qwen1.5-14B,"F1 score:                0.7823
Precision score: 0.6974
Recall score:        0.8908
Mismatch percentage: 1.50%","F1 score:                0.7482
Precision score: 0.6541
Recall score:        0.8739
Mismatch percentage: 4.89%","F1 score:                0.7860
Precision score: 0.7319
Recall score:        0.8487
Mismatch percentage: 0.75%","F1 score:                0.8134
Precision score: 0.7315
Recall score:        0.9160
Mismatch percentage: 4.26%"
Qwen1.5-32B,"F1 score:                0.8195
Precision score: 0.7415
Recall score:        0.9160
Mismatch percentage: 0.75%",Matched,Matched,Matched
Qwen1.5-72B,"F1 score:                0.6931
Precision score: 0.5707
Recall score:        0.8824
Mismatch percentage: 23.68%","F1 score:                0.8333
Precision score: 0.7586
Recall score:        0.9244
Mismatch percentage: 4.14%","F1 score:                0.7872
Precision score: 0.6810
Recall score:        0.9328
Mismatch percentage: 10.53%",None
Qwen2-7B,"F1 score:                0.6141
Precision score: 0.6066
Recall score:        0.6218
Mismatch percentage: 27.44%",Matched,Matched,"F1 score:                0.8333
Precision score: 0.8264
Recall score:        0.8403
Mismatch percentage: 0.38%"
Yi-1.5-34B,"F1 score:                0.6127
Precision score: 0.5273
Recall score:        0.7311
Mismatch percentage: 34.21%","F1 score:                0.8155
Precision score: 0.8333
Recall score:        0.7983
Mismatch percentage: 1.13%","F1 score:                0.8306
Precision score: 0.7984
Recall score:        0.8655
Mismatch percentage: 3.38%","F1 score:                0.8407
Precision score: 0.8879
Recall score:        0.7983
Mismatch percentage: 1.00%"
Yi-1.5-9B,"F1 score:                0.6319
Precision score: 0.5385
Recall score:        0.7647
Mismatch percentage: 24.81%","F1 score:                0.8090
Precision score: 0.7297
Recall score:        0.9076
Mismatch percentage: 0.75%",Matched,"F1 score:                0.8284
Precision score: 0.7450
Recall score:        0.9328
Mismatch percentage: 0.75%"
gpt-4o,Matched,Matched,Matched,None
gpt-4o-mini,Matched,Matched,Matched,None
